taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2158815	Neoscona Simon, 1864	2158815	Neoscona Simon, 1864	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Neoscona	2158815			
2167381	Gelanor gertschi Chickering, 1947	2167383	Gelanor consequus O.Pickard-Cambridge, 1902	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Mimetidae	9563	Gelanor	2167379	Gelanor consequus	2167383	NE
2169597	Metaphidippus bispinosus F.O.Pickard-Cambridge, 1901	2169597	Metaphidippus bispinosus F.O.Pickard-Cambridge, 1901	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Metaphidippus	2169535	Metaphidippus bispinosus	2169597	NE
2183979	Amblyomma varium Koch, 1844	2183979	Amblyomma varium Koch, 1844	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Ixodida	1425	Ixodidae	9167	Amblyomma	7967293	Amblyomma varium	2183979	NE
9894294	BOLD:AAL8943	9894294	BOLD:AAL8943	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10167511	BOLD:ABZ5224	10167511	BOLD:ABZ5224	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2140646	Oonops zeteki Chickering, 1951	2140646	Oonops zeteki Chickering, 1951	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Oonopidae	6185	Oonops	2140586	Oonops zeteki	2140646	NE
2158045	Wamba crispulus (Simon, 1895)	2158045	Wamba crispulus (Simon, 1895)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theridiidae	9583	Wamba	2158043	Wamba crispulus	2158045	NE
2159050	Mangora sufflava Chickering, 1963	2159050	Mangora sufflava Chickering, 1963	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Mangora	2159042	Mangora sufflava	2159050	NE
2160947	Lewisepeira boquete Levi, 1993	2160947	Lewisepeira boquete Levi, 1993	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Lewisepeira	2160945	Lewisepeira boquete	2160947	NE
2161088	Metazygia pallidula (Keyserling, 1864)	2161088	Metazygia pallidula (Keyserling, 1864)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Metazygia	2161036	Metazygia pallidula	2161088	NE
2167939	Carabella insignis (Banks, 1929)	2167939	Carabella insignis (Banks, 1929)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Carabella	2167937	Carabella insignis	2167939	NE
2181646	Stenochrus portoricensis Chamberlin, 1922	2181646	Stenochrus portoricensis Chamberlin, 1922	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Schizomida	1186	Hubbardiidae	7767	Stenochrus	2181628	Stenochrus portoricensis	2181646	NE
10100654	BOLD:AAM0280	10100654	BOLD:AAM0280	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10324043	BOLD:AAL6061	10324043	BOLD:AAL6061	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10383884	BOLD:AAL6229	10383884	BOLD:AAL6229	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2163568	Epilineutes globosus (O.Pickard-Cambridge, 1896)	2163568	Epilineutes globosus (O.Pickard-Cambridge, 1896)	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theridiosomatidae	9584	Epilineutes	2163567	Epilineutes globosus	2163568	NE
2179573	Hesydrus habilis (O.Pickard-Cambridge, 1896)	2179573	Hesydrus habilis (O.Pickard-Cambridge, 1896)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Trechaleidae	3327	Hesydrus	2179568	Hesydrus habilis	2179573	NE
6906897	Paecilaema eutypum (Chamberlin, 1925)	6906897	Paecilaema eutypum (Chamberlin, 1925)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Opiliones	907	Cosmetidae	3253433	Paecilaema	4661500	Paecilaema eutypum	6906897	NE
6908813	Stygnoleptes analis Banks, 1913	6908813	Stygnoleptes analis Banks, 1913	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Opiliones	907	Zalmoxidae	3253428	Stygnoleptes	4662190	Stygnoleptes analis	6908813	NE
8330384	Reductoonops escopeta Platnick & Berniker, 2014	8330384	Reductoonops escopeta Platnick & Berniker, 2014	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Oonopidae	6185	Reductoonops	8374113	Reductoonops escopeta	8330384	NE
9846930	BOLD:AAL6518	9846930	BOLD:AAL6518	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
9962243	BOLD:AAL6179	9962243	BOLD:AAL6179	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2158126	Cyclosa Menge, 1866	2158126	Cyclosa Menge, 1866	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Cyclosa	2158126			
2171447	Acragas quadriguttatus (F.O.Pickard-Cambridge, 1901)	2171447	Acragas quadriguttatus (F.O.Pickard-Cambridge, 1901)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Acragas	2171417	Acragas quadriguttatus	2171447	NE
4663716	Gamasellidae	4663716	Gamasellidae	2	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Mesostigmata	1109	Gamasellidae	4663716					
6907547	Paracynorta confluens (Chamberlin, 1925)	6907547	Paracynorta confluens (Chamberlin, 1925)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Opiliones	907	Cosmetidae	3253433	Paracynorta	4661501	Paracynorta confluens	6907547	NE
10546329	BOLD:AAL5983	10546329	BOLD:AAL5983	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2833	Ascidae	2833	Ascidae	15	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Mesostigmata	1109	Ascidae	2833					
