epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,11332.7,1.11885,0.78393,1.64592,0.85489,0.87317,0.9275,0.61828,1.03016,0.72135,1.54964,0.0005942,0.0005942,0.0005942
73,12635.3,1.0759,0.76744,1.59313,0.84813,0.89108,0.92497,0.62557,1.02135,0.71065,1.52811,0.0005744,0.0005744,0.0005744
74,13911.6,1.08712,0.77154,1.64167,0.85551,0.86149,0.92259,0.62173,1.01381,0.70511,1.52915,0.0005546,0.0005546,0.0005546
75,15197.8,1.10115,0.75398,1.62131,0.85333,0.87152,0.91767,0.6176,1.03394,0.72686,1.56104,0.0005348,0.0005348,0.0005348
76,16471,1.08079,0.76478,1.63567,0.84709,0.87472,0.9197,0.61892,1.01458,0.75957,1.54675,0.000515,0.000515,0.000515
77,17780.5,1.07898,0.74122,1.62521,0.87237,0.85499,0.92417,0.62069,1.01825,0.72613,1.53909,0.0004952,0.0004952,0.0004952
78,19034.3,1.07708,0.75915,1.60101,0.85198,0.86162,0.92085,0.6243,1.0118,0.72531,1.54344,0.0004754,0.0004754,0.0004754
79,20278.9,1.08215,0.74402,1.62922,0.86119,0.86747,0.92418,0.614,1.02368,0.73833,1.55006,0.0004556,0.0004556,0.0004556
80,21512.3,1.08209,0.76126,1.60029,0.85457,0.87324,0.92036,0.61818,1.00903,0.73029,1.53901,0.0004358,0.0004358,0.0004358
81,22757.4,1.0478,0.739,1.5713,0.85144,0.87771,0.92428,0.62745,1.00609,0.71672,1.55026,0.000416,0.000416,0.000416
82,24012.5,1.07651,0.75807,1.59805,0.83891,0.87846,0.91923,0.61902,1.00352,0.71775,1.55052,0.0003962,0.0003962,0.0003962
83,25280.4,1.05193,0.71017,1.59188,0.85271,0.85549,0.91892,0.61464,1.02207,0.74563,1.57425,0.0003764,0.0003764,0.0003764
84,26506.6,1.07132,0.73595,1.60421,0.86119,0.86856,0.92434,0.62491,1.00698,0.72014,1.54995,0.0003566,0.0003566,0.0003566
85,27716.4,1.04836,0.71674,1.57281,0.84066,0.88861,0.92492,0.62574,1.01119,0.71587,1.54528,0.0003368,0.0003368,0.0003368
86,28940.3,1.03843,0.7213,1.58046,0.86732,0.85923,0.92671,0.62323,0.99864,0.72495,1.54556,0.000317,0.000317,0.000317
87,30157.2,1.05634,0.71794,1.59975,0.87469,0.85598,0.92614,0.61782,1.00756,0.72944,1.56939,0.0002972,0.0002972,0.0002972
88,31355.3,1.05669,0.7294,1.57877,0.87095,0.87374,0.92577,0.62167,0.995,0.72865,1.53892,0.0002774,0.0002774,0.0002774
