Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW6,Hours,SW_DS04-254-2-06BK-SMT,-66.55,-16.765671,0.0,bottom
U1,XL4015,CONV_XL4015,141.0125,-57.811342,0.0,top
U10,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,112.98125,-30.460671,0.0,bottom
U11,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,23.84,29.654329,180.0,bottom
U12,CD74HC4067M96E4,SOIC127P1030X265-24N,-3.37,-8.513171,270.0,bottom
U13,CD74HC4067M96E4,SOIC127P1030X265-24N,-43.31,-8.603171,270.0,bottom
U2,9V-36V to 12V 5A 60W,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,158.6,-55.765671,90.0,bottom
U5,STM32L031K6Tx,LQFP-32_7x7mm_P0.8mm,-0.15,-71.485671,180.0,top
U6,TLV75733PDBVR,SOT95P280X145-5N,19.66,-61.125671,180.0,top
U8,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,71.19,3.744329,90.0,bottom
U9,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,0.5925,25.986829,0.0,bottom
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,8.020671,-73.035671,90.0,top
